message,label
Session hijacking signature flagged,MITM
DROP TABLE accounts; --,SQL Injection
SELECT password FROM members WHERE name = '' OR 'a'='a,SQL Injection
Unresponsive server due to traffic overload,DDoS
Sudden surge in UDP packets to port 53,DDoS
Account lockout triggered by failed logins,Brute Force
High rate of authentication failures,Brute Force
<link rel=stylesheet href='javascript:alert(1)'>,XSS
Sudden surge in UDP packets to port 53,DDoS
TCP Connect scan from IP range 192.168.*.*,Port Scan
HTTPS stripped to HTTP in transit,MITM
ARP spoofing attempt detected on LAN,MITM
Executable attempting control over kernel thread,Zero-Day Exploit
<object data='javascript:alert(1)'></object>,XSS
Account lockout triggered by failed logins,Brute Force
Backup deletion followed by encryption process,Ransomware
Exploit code targeting CVE-2025-0001 detected,Zero-Day Exploit
Ransom note detected in user directory,Ransomware
Files encrypted with unknown extension,Ransomware
Heap corruption attempt in critical process,Zero-Day Exploit
"INSERT INTO users VALUES ('hacker', 'pass'); --",SQL Injection
SELECT password FROM members WHERE name = '' OR 'a'='a,SQL Injection
High rate of authentication failures,Brute Force
<link rel=stylesheet href='javascript:alert(1)'>,XSS
Files encrypted with unknown extension,Ransomware
Phishing site link clicked by user,Phishing
Process encrypting large number of files rapidly,Ransomware
'; EXEC xp_cmdshell('net user'); --,SQL Injection
Known trojan signature matched in memory scan,Malware
Process injection detected from unknown binary,Malware
Unauthorized password guessing on FTP service,Brute Force
"<iframe src='javascript:alert(""XSS"")'></iframe>",XSS
Executable malware.exe detected in downloads,Malware
TLS handshake failure from suspicious proxy,MITM
"'""><script>alert(1)</script>",XSS
Repeated login failures from 10.0.0.5,Brute Force
Process injection detected from unknown binary,Malware
Outbound connection to known ransomware C2,Ransomware
Malware beacon detected to external IP,Malware
Persistence mechanism found in registry,Malware
Sudden surge in UDP packets to port 53,DDoS
Unauthorized modification of system libraries,Zero-Day Exploit
Exploit payload injected through zero-day flaw,Zero-Day Exploit
Backup deletion followed by encryption process,Ransomware
Unusual spikes in traffic on port 80,DDoS
<svg/onload=alert('XSS')>,XSS
Account lockout triggered by failed logins,Brute Force
SELECT password FROM members WHERE name = '' OR 'a'='a,SQL Injection
Unexpected certificate authority in chain,MITM
Obfuscated script downloading payload,Malware
SELECT * FROM users WHERE username = 'admin' --,SQL Injection
' OR 'x'='x' --,SQL Injection
Massive traffic detected from IP 192.168.1.100,DDoS
SELECT password FROM members WHERE name = '' OR 'a'='a,SQL Injection
SELECT password FROM members WHERE name = '' OR 'a'='a,SQL Injection
Sudden surge in UDP packets to port 53,DDoS
Suspicious email with login link detected,Phishing
Executable malware.exe detected in downloads,Malware
Stealth scan detected on internal network,Port Scan
"INSERT INTO users VALUES ('hacker', 'pass'); --",SQL Injection
Port scanning behavior from unknown IP,Port Scan
Port scanning behavior from unknown IP,Port Scan
Session hijacking signature flagged,MITM
High frequency of connection resets detected,Port Scan
<marquee onstart=alert('XSS')>Attack</marquee>,XSS
Excessive ICMP echo requests observed,DDoS
High frequency of connection resets detected,Port Scan
Flood of SYN packets from multiple IPs,DDoS
ARP spoofing attempt detected on LAN,MITM
<marquee onstart=alert('XSS')>Attack</marquee>,XSS
Behavioral anomaly resembling new exploit,Zero-Day Exploit
RDP login attempts from suspicious IP,Brute Force
Dictionary attack detected against login system,Brute Force
Excessive ICMP echo requests observed,DDoS
SSL certificate mismatch in secure session,MITM
Unknown process exploiting kernel vulnerability,Zero-Day Exploit
